11.02.2024 18:11:15.644 [main] INFO   service.RoomService - Room: Вызван метод получения всех комнат, отсортированных в порядке убывания звёзд
11.02.2024 18:11:18.080 [main] INFO   service.RoomService - Room: Вызван метод добавления комнаты с ID 10
11.02.2024 18:11:18.080 [main] INFO   service.RoomService - Room: Добавлена новая комната с ID 10
11.02.2024 20:30:26.282 [main] INFO   service.RoomService - Room: Вызван метод обновления комнаты с ID 1
11.02.2024 20:30:26.282 [main] ERROR  service.RoomService - Room: Не удалось обновить комнату с ID 1
11.02.2024 20:30:26.283 [main] INFO   service.RoomService - Room: Вызван метод добавления комнаты с ID 1
11.02.2024 20:30:26.283 [main] INFO   service.RoomService - Room: Добавлена новая комната с ID 1
11.02.2024 20:30:26.283 [main] INFO   service.RoomService - Room: Вызван метод обновления комнаты с ID 3
11.02.2024 20:30:26.283 [main] ERROR  service.RoomService - Room: Не удалось обновить комнату с ID 3
11.02.2024 20:30:26.283 [main] INFO   service.RoomService - Room: Вызван метод добавления комнаты с ID 3
11.02.2024 20:30:26.283 [main] INFO   service.RoomService - Room: Добавлена новая комната с ID 3
11.02.2024 20:30:26.283 [main] INFO   service.RoomService - Room: Вызван метод обновления комнаты с ID 2
11.02.2024 20:30:26.284 [main] ERROR  service.RoomService - Room: Не удалось обновить комнату с ID 2
11.02.2024 20:30:26.284 [main] INFO   service.RoomService - Room: Вызван метод добавления комнаты с ID 2
11.02.2024 20:30:26.284 [main] INFO   service.RoomService - Room: Добавлена новая комната с ID 2
11.02.2024 20:30:26.284 [main] INFO   service.RoomService - Room: Вызван метод обновления комнаты с ID 5
11.02.2024 20:30:26.284 [main] ERROR  service.RoomService - Room: Не удалось обновить комнату с ID 5
11.02.2024 20:30:26.284 [main] INFO   service.RoomService - Room: Вызван метод добавления комнаты с ID 5
11.02.2024 20:30:26.284 [main] INFO   service.RoomService - Room: Добавлена новая комната с ID 5
11.02.2024 20:30:26.284 [main] INFO   service.RoomService - Room: Вызван метод обновления комнаты с ID 4
11.02.2024 20:30:26.284 [main] ERROR  service.RoomService - Room: Не удалось обновить комнату с ID 4
11.02.2024 20:30:26.284 [main] INFO   service.RoomService - Room: Вызван метод добавления комнаты с ID 4
11.02.2024 20:30:26.284 [main] INFO   service.RoomService - Room: Добавлена новая комната с ID 4
11.02.2024 20:31:18.192 [main] INFO   service.RoomService - Room: Вызван метод обновления комнаты с ID 1
11.02.2024 20:31:18.192 [main] INFO   service.RoomService - Room: Обновлена комната с ID 1
11.02.2024 20:31:18.192 [main] INFO   service.RoomService - Room: Вызван метод обновления комнаты с ID 3
11.02.2024 20:31:18.193 [main] INFO   service.RoomService - Room: Обновлена комната с ID 3
11.02.2024 20:31:18.193 [main] INFO   service.RoomService - Room: Вызван метод обновления комнаты с ID 2
11.02.2024 20:31:18.193 [main] INFO   service.RoomService - Room: Обновлена комната с ID 2
11.02.2024 20:31:18.193 [main] INFO   service.RoomService - Room: Вызван метод обновления комнаты с ID 5
11.02.2024 20:31:18.193 [main] INFO   service.RoomService - Room: Обновлена комната с ID 5
11.02.2024 20:31:18.193 [main] INFO   service.RoomService - Room: Вызван метод обновления комнаты с ID 4
11.02.2024 20:31:18.193 [main] INFO   service.RoomService - Room: Обновлена комната с ID 4
